date,open,high,low,close,volume
2020-05-01 07:00:00,105.36,105.36,105.36,105.36,202
2020-05-01 07:15:00,105.93,105.97,105.5,105.5,3721
2020-05-01 07:30:00,105.68,105.95,105.22,105.25,17706
2020-05-01 07:45:00,105.25,105.85,105.2,105.5,2977
2020-05-01 08:00:00,105.25,105.5,105.25,105.5,945
2020-05-01 08:15:00,105.9,106.0,105.01,105.8375,14655
2020-05-01 08:30:00,105.63,105.75,105.2583,105.56,6957
2020-05-01 08:45:00,105.6,108.15,105.6,105.79,20213
2020-05-01 09:00:00,105.79,106.0,105.75,106.0,4678
2020-05-01 09:15:00,106.0,106.0,105.84,106.0,6723
2020-05-01 09:30:00,106.08,106.66,106.05,106.66,4437
2020-05-01 09:45:00,106.36,106.91,105.43,105.57,1566178
2020-05-01 10:00:00,105.605,106.2,105.24,106.02,768547
2020-05-01 10:15:00,106.04,106.35,105.7139,106.11,696167
2020-05-01 10:30:00,106.09,106.102,105.38,105.89,442847
2020-05-01 10:45:00,105.92,106.37,105.728,105.9974,351011
2020-05-01 11:00:00,105.95,106.02,105.62,105.635,358928
2020-05-01 11:15:00,105.6211,105.6863,105.3,105.49,307944
2020-05-01 11:30:00,105.49,105.5138,104.85,104.9627,571219
2020-05-01 11:45:00,104.96,105.03,104.7588,104.975,439036
2020-05-01 12:00:00,104.98,104.98,104.5,104.8673,409983
2020-05-01 12:15:00,104.9055,105.125,104.65,105.11,438376
2020-05-01 12:30:00,105.13,105.1799,104.665,104.665,334266
2020-05-01 12:45:00,104.655,104.915,104.47,104.63,365331
2020-05-01 13:00:00,104.62,105.22,104.62,104.88,396633
2020-05-01 13:15:00,104.8803,105.03,104.721,104.955,274218
2020-05-01 13:30:00,104.9586,105.3,104.85,105.18,280471
2020-05-01 13:45:00,105.16,105.25,104.65,104.75,323078
2020-05-01 14:00:00,104.75,105.12,104.695,104.92,273907
2020-05-01 14:15:00,104.94,105.145,104.71,104.8,288036
2020-05-01 14:30:00,104.81,105.24,104.69,105.1599,369216
2020-05-01 14:45:00,105.15,105.15,104.87,104.96,258327
2020-05-01 15:00:00,104.97,105.13,104.83,104.905,311887
2020-05-01 15:15:00,104.91,105.3199,104.885,105.26,341963
2020-05-01 15:30:00,105.265,105.54,105.155,105.38,442999
2020-05-01 15:45:00,105.365,105.43,104.73,104.99,750006
2020-05-01 16:00:00,104.99,105.53,104.86,105.5,1046211
2020-05-01 16:15:00,105.3602,105.7,105.3602,105.5,97573
2020-05-01 16:30:00,105.41,105.65,105.41,105.55,7296
2020-05-01 16:45:00,105.56,105.57,105.5,105.57,25913
2020-05-01 17:00:00,105.5,105.5,105.48,105.5,1365
